#SampleID	Metaphlan2_Analysis
d__Viruses	887
d__Viruses|k__ Duplodnaviria	869
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae	869
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota	869
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes	869
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__	714
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__ unclassified Caudoviricetes	155
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__ unclassified Caudoviricetes|g__	155
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__ unclassified Caudoviricetes|g__|s__	155
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__	479
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae	139
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__	20
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Bifseptvirus andromeda	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Bifseptvirus Bf7	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Ghunavirus 17A	3
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Ghunavirus gh1	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Ghunavirus henninger	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Ghunavirus KNP	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Ghunavirus Pf1ERZ2017	1
d__Viruses|k__ Duplodnaviria|p__ Heunggongvirae|c__ Uroviricota|o__ Caudoviricetes|f__|g__ Autographiviridae|s__ Ghunavirus PPPL1	1
