#SampleID	Metaphlan2_Analysis
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Enterobacterales|o__ Enterobacteriaceae|f__ Escherichia|g__ Escherichia coli|s__	0.625
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__|s__	73
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__	416.4583333
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa ATCC 15442	2
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa CF127	1
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa CF5	1
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa CF77	1
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa CHA	2
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa DSM 50071 = NBRC 12689	2
d__Bacteria|k__ Pseudomonadota|p__ Gammaproteobacteria|c__ Pseudomonadales|o__ Pseudomonadaceae|f__ Pseudomonas|g__ Pseudomonas aeruginosa|s__ Pseudomonas aeruginosa PA1	3
