Domain	Phylum	Class	Order	Family	Genus	Species	Below_species_class	size_corrected
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli		0,625
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas			73
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa		416,4583333
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa ATCC 15442	2
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa CF127	1
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa CF5	1
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa CF77	1
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa CHA	2
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa DSM 50071 = NBRC 12689	2
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa PA1	3
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa PA14	22
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa PAK	7
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa PAO1	112,5
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa ATCC 15442	1
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas aeruginosa	 Pseudomonas aeruginosa UCBPP-PA14	3
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 Acinetobacter calcoaceticus		0,125
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli	 Escherichia coli C	1,333333333
Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas agarici		1
