virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
2662138	Bacteriophage Phobos	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Phobosvirus; Phobosvirus phobos	NC_052977				321	Pseudomonas syringae pv. syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1	32248294	Literature		
2662138	Bacteriophage Phobos	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Phobosvirus; Phobosvirus phobos	NC_052977				323	Pseudomonas syringae pv. tomato	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group	32248294	Literature		
484895	Bruynoghevirus LUZ24	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus	NC_010325				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		NCBI Virus, RefSeq, UniProt		
484895	Bruynoghevirus LUZ24	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus	NC_010325				208964	Pseudomonas aeruginosa PAO1	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa		Literature		
35343	Citexvirus phiCTX	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Citexvirus	Y13918				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	8071200	Literature, RefSeq		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		UniProt		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				294	Pseudomonas fluorescens	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group		UniProt		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				303	Pseudomonas putida	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas putida group		UniProt		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				471	Acinetobacter calcoaceticus	Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		UniProt		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				562	Escherichia coli	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia		UniProt		
