protein	pdb/af50m	empty	best_ann	annotation_found
1321075213	pdb	True	NA	NA
1321075213	af50m	False	DUF1566 domain-containing protein	True
1338671661	pdb	True	NA	NA
1338671661	af50m	True	NA	NA
1321075282	pdb	True	NA	NA
1321075282	af50m	True	NA	NA
937263708	pdb	True	NA	NA
937263708	af50m	True	NA	NA
865993474	pdb	True	NA	NA
865993474	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;MPS62176 : Uncharacterized protein (active UniProt ID: Y);A0A5N7TYH5 : DUF669 domain-containing protein (active UniProt ID: N);WP_287084522 : hypothetical protein (active UniProt ID: Y)	True
2552398832	pdb	True	NA	NA
2552398832	af50m	True	NA	NA
1696892007	pdb	True	NA	NA
1696892007	af50m	False	Amidoligase enzyme	True
409994693	pdb	True	NA	NA
409994693	af50m	False	Phage tail protein	True
968066743	pdb	False	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC) [UniProt ID: Q9RX75] 	True
968066743	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;QWP63011 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);QWP60472 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);PNC25351 : Uncharacterized protein (active UniProt ID: Y);QWP02589 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);WMX37628 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);QWP21266 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);WMX38917 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);CDD98222 : Uncharacterized protein (active UniProt ID: Y);WP_022397178 : crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);WP_022397178 : hypothetical protein (active UniProt ID: N);A0AA51VL98 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: N);QWP53284 : Crossover junction endodeoxyribonuclease RuvC (active UniProt ID: Y);R7E9P1 : Uncharacterized protein (active UniProt ID: N);A0A8E2Q6W8 : Holliday junction nuclease RuvC (active UniProt ID: N)	True
2552399712	pdb	True	NA	NA
