protein	pdb/af50m	empty	best_ann	annotation_found	low_information
1321075213	af50m	False	Protein phosphatase	True	True
1338671661	af50m	True	NA	NA	NA
1321075282	af50m	True	NA	NA	NA
937263708	af50m	True	NA	NA	NA
865993474	af50m	False	Single-stranded DNA-binding protein	True	True
2552398832	af50m	True	NA	NA	NA
1696892007	af50m	False	Amidoligase enzyme	True	False
409994693	af50m	False	Uncharacterized protein	False	False
968066743	af50m	False	Crossover junction endodeoxyribonuclease RuvC	True	False
2552399712	af50m	False	Uncharacterized 12.7 kDa protein in lys 3'region (Modular protein)	True	True
387155857	af50m	False	CMP/dCMP-type deaminase domain-containing protein	True	True
1870366885	af50m	False	TAF domain-containing protein	True	False
2468022659	af50m	False	Tail-collar fiber protein	True	False
1376324314	af50m	True	NA	NA	NA
1908379286	af50m	True	NA	NA	NA
383389567	af50m	False	Uncharacterized protein	False	False
2512621466	af50m	False	Phage-tail_3 domain-containing protein	True	False
383389624	af50m	True	NA	NA	NA
383389676	af50m	False	Uncharacterized protein	False	False
383389724	af50m	True	NA	NA	NA
383389776	af50m	True	NA	NA	NA
383389827	af50m	True	NA	NA	NA
383389872	af50m	True	NA	NA	NA
2492010706	af50m	False	Uncharacterized protein	False	False
383389919	af50m	True	NA	NA	NA
974131585	af50m	False	Uncharacterized protein DUF2829	False	True
2127008225	af50m	False	Lysophospholipase L1-like esterase	True	False
2430210751	af50m	False	Uncharacterized protein	False	False
1336447823	af50m	False	RimK domain-containing protein	True	False
1336447957	af50m	False	Fe2OG dioxygenase domain-containing protein	True	False
2162922775	af50m	True	NA	NA	NA
1483609514	af50m	False	Lysis protein	True	False
1249580769	af50m	False	Amidoligase enzyme	True	False
1882265395	af50m	True	NA	NA	NA
1808209908	af50m	True	NA	NA	NA
1199937610	af50m	False	DUF2786 domain-containing protein	False	True
1033017467	af50m	True	NA	NA	NA
1199937667	af50m	True	NA	NA	NA
1845926027	af50m	True	NA	NA	NA
1808210107	af50m	True	NA	NA	NA
1199937739	af50m	True	NA	NA	NA
1386682584	af50m	False	Uncharacterized protein	False	False
1199937807	af50m	True	NA	NA	NA
1199937866	af50m	False	Uncharacterized protein	False	False
1199937924	af50m	False	Rick_17kDa_Anti domain-containing protein	True	False
1199937990	af50m	True	NA	NA	NA
1199938093	af50m	False	Fe2OG dioxygenase domain-containing protein	True	False
1829640858	af50m	False	Uncharacterized protein	False	False
1199938244	af50m	True	NA	NA	NA
1846450901	af50m	False	GIY-YIG domain-containing protein	True	False
1199938311	af50m	False	Uncharacterized protein	False	False
1199938360	af50m	False	ClpXP protease specificity-enhancing factor	True	False
1199938402	af50m	True	NA	NA	NA
1199938445	af50m	True	NA	NA	NA
1386683379	af50m	False	Crossover junction endodeoxyribonuclease RuvC	True	False
2220661795	af50m	False	NAPRTase domain-containing protein	True	False
610507900	af50m	True	NA	NA	NA
2220661949	af50m	True	NA	NA	NA
2220662011	af50m	False	Protein kinase	True	False
1896095009	af50m	False	Guanylate kinase-like domain-containing protein	True	False
2220662075	af50m	False	HNH endonuclease	True	False
2220662146	af50m	True	NA	NA	NA
2492013964	af50m	False	Uncharacterized protein	False	False
2220662204	af50m	True	NA	NA	NA
1846451712	af50m	False	Uncharacterized protein	False	False
1352801860	af50m	False	Uncharacterized protein	False	False
1026924270	af50m	False	RIIA protein	True	False
1026924315	af50m	True	NA	NA	NA
1026924358	af50m	False	Exonuclease	True	False
1026924407	af50m	False	Helix-turn-helix transcriptional regulator	True	False
198385616	af50m	False	Lysozyme	True	False
318054505	af50m	False	Uncharacterized protein	False	False
2494013720	af50m	True	NA	NA	NA
2316771663	af50m	False	PriCT_1 domain-containing protein	True	True
2508693860	af50m	False	Putative Structural phage protein	True	False
2494013967	af50m	True	NA	NA	NA
2029232708	af50m	True	NA	NA	NA
1209836123	af50m	False	DUF3310 domain-containing protein	False	True
1209836186	af50m	True	NA	NA	NA
1209836247	af50m	False	AAA_28 domain-containing protein	True	False
2091262720	af50m	True	NA	NA	NA
1698243385	af50m	False	Norphogenetic protein	True	False
1209836369	af50m	True	NA	NA	NA
2091262821	af50m	False	M48 family peptidase	True	False
1209836420	af50m	False	Uncharacterized protein	False	False
1278224002	af50m	False	Fibronectin type III domain protein	True	False
114796434	af50m	False	Uncharacterized protein	False	False
209528735	af50m	True	NA	NA	NA
1103734790	af50m	True	NA	NA	NA
953264240	af50m	False	Uncharacterized protein	False	False
2071734901	af50m	True	NA	NA	NA
563784717	af50m	False	VRR-NUC domain-containing protein	True	False
17313240	af50m	False	Phage tail protein	True	False
2071735822	af50m	False	Uncharacterized protein	False	False
1038266356	af50m	True	NA	NA	NA
1278226425	af50m	True	NA	NA	NA
2296131732	af50m	True	NA	NA	NA
2296131864	af50m	False	Pribosyltran domain-containing protein	True	False
471216511	af50m	False	Radical SAM protein	True	False
2333487600	af50m	True	NA	NA	NA
334738001	af50m	False	Terminase-like family protein	True	False
334738049	af50m	False	DNA-directed RNA polymerase	True	False
334738118	af50m	True	NA	NA	NA
334738187	af50m	True	NA	NA	NA
334738232	af50m	False	Uncharacterized protein	False	False
334738277	af50m	False	DSPc domain-containing protein	True	False
2296132459	af50m	True	NA	NA	NA
334738317	af50m	True	NA	NA	NA
1832334224	af50m	True	NA	NA	NA
334738351	af50m	False	Galactose oxidase	True	False
1585558587	af50m	False	Uncharacterized protein	False	False
223556774	af50m	True	NA	NA	NA
2441065734	af50m	False	Uncharacterized protein	False	False
2296132874	af50m	False	Uncharacterized protein	False	False
2441065857	af50m	True	NA	NA	NA
529282587	af50m	True	NA	NA	NA
529282656	af50m	True	NA	NA	NA
1899050620	af50m	False	Uncharacterized protein	False	False
529282731	af50m	True	NA	NA	NA
345650878	af50m	False	Uncharacterized protein	False	False
701904602	af50m	False	Uncharacterized protein	False	False
529282821	af50m	True	NA	NA	NA
371767326	af50m	False	Pectate_lyase_3 domain-containing protein	True	False
2306488356	af50m	True	NA	NA	NA
371767389	af50m	False	Exonuclease VIII	True	False
2449455301	af50m	False	Zonula occludens toxin, putative	True	False
1613838784	af50m	False	NTP pyrophosphatase (Non-canonical NTP hydrolase)	True	False
2289973845	af50m	False	Recombination enhancement, RecA-dependent nuclease	True	False
1007467093	af50m	False	Holliday junction resolvase RecU	True	False
8895116	af50m	False	Phage protein, HK97 gp10 family	True	False
148912813	af50m	False	Uncharacterized protein	False	False
2289974153	af50m	False	ABC-type sugar transport system, periplasmic	True	False
2449456340	af50m	True	NA	NA	NA
164609246	af50m	True	NA	NA	NA
2449456394	af50m	True	NA	NA	NA
164609307	af50m	False	DNA_pol_B domain-containing protein	True	False
2289974558	af50m	False	Phage portal protein	True	False
2449456450	af50m	True	NA	NA	NA
164609353	af50m	False	RNA_pol_Rpb1_5 domain-containing protein	True	False
1825586529	af50m	False	Major capsid protein	True	False
2289974642	af50m	False	Uncharacterized protein	False	False
2449456500	af50m	False	DUF3307 domain-containing protein	False	True
164609422	af50m	True	NA	NA	NA
2449456568	af50m	False	Asph protein	True	False
164609496	af50m	True	NA	NA	NA
2449456640	af50m	True	NA	NA	NA
1825586690	af50m	False	Virulence protein E	True	False
164609545	af50m	True	NA	NA	NA
164609600	af50m	True	NA	NA	NA
2449456707	af50m	False	Uncharacterized protein	False	False
164609651	af50m	True	NA	NA	NA
2057486078	af50m	True	NA	NA	NA
1278230373	af50m	True	NA	NA	NA
1524744437	af50m	False	Uncharacterized protein	False	False
1269186822	af50m	True	NA	NA	NA
1585561906	af50m	False	Uncharacterized protein	False	False
1269187020	af50m	False	Virion structural protein	True	False
82657898	af50m	True	NA	NA	NA
2234368734	af50m	False	Uncharacterized protein	False	False
1825588011	af50m	True	NA	NA	NA
2512470917	af50m	False	Uncharacterized protein	False	False
359842915	af50m	True	NA	NA	NA
259048562	af50m	True	NA	NA	NA
359842958	af50m	False	Uncharacterized protein	False	False
259048658	af50m	False	Uncharacterized protein	False	False
359843028	af50m	True	NA	NA	NA
359843086	af50m	True	NA	NA	NA
359843149	af50m	True	NA	NA	NA
359843200	af50m	True	NA	NA	NA
1825588637	af50m	False	Pesponse regulators consisting of a CheY-like	True	True
1825588848	af50m	False	Nucleotide pyrophosphohydrolase	True	False
